облако вокруг ядра кометы, наблюдавшееся в 1811 году, имело диаметр два миллиона километров?;1
на Венере день короче года?;1
межпланетная среда — это пустота?;1
Луна — светило темное, собственного света не имеет?;1
в теле кометы ученые обнаружили железо, кобальт, натрий, кальций?;1
хвост кометы 1811 года превышал расстояние от Земли до Солнца?;1
Ли Рэдмонд (жительница США), имеющая ногти общей длиною 7 метров 51 сантиметр, одевается самостоятельно?;1
рост самого высокого современного мужчины составляет три метра?;0
самая высокая современная женщина выше самого высокого современного мужчины?;0
врач Черинг-Кросс (Великобритания) в 1952 году удалил из желчного пузыря восьмидесятилетней пациентки камень весом в шесть килограммов двести девяносто граммов?;1
Мишель Лотито (Франция) с 1959 года питается стеклом и железом, и может переварить ежедневно девятьсот граммов металла?;1
сердце рыбака Яна Эгиля Рефсдаля (Норвегия), выпавшего за борт в море, остановилось на четыре часа, после чего он выжил?;1
Рой Салливан (США) выжил после того, как в него с разными интервалами попадали двадцать молний?;1
старейшая, жившая на Земле женщина, прожила дольше старейшего, жившего на Земле мужчины?;1
в 1997 году Джастин Миллер (США), в возрасте семи лет, опубликовал поваренную книгу «Готовим вместе с Джастином»?;1
Джеки Барби (США) удерживал во рту двадцать гремучих змей в течение двенадцати с половиной секунд?;0
донор Морис Кресвик (Южно-Африканская Республика) с восемнадцатилетнего возраста в течение пятидесяти девяти лет сдал 188,9 литров крови?;1
Мэри Мохан в девяносто один год спустилась на веревке с тридцати восьми метровой скалы?;1
 Эдуардо Армалло Лагаса (Испания), лежа, удержал на себе бетонные блоки весом в пять тонн?;0
Пракаш Синхг (Индия) простоял без движения, позволяя себе только моргать, трое суток?;0
двухлетняя Мишель Франк (США) выжила после шестидесяти шести минут пребывания под водой в ручье?;1
3-4 апреля 1974 года, всего за сутки, по югу и среднему западу США пронеслись сто сорок восемь торнадо?;1
Мария Магдалина была включена Церковью в число равноапостольных святых?;1
суммарное население Индии и Китая превышает треть населения нашей планеты?;1
Сието Изуми (Япония) проработал девяносто восемь лет?;1
самый посещаемый парк развлечений — это Диснейленд в Париже?;0
самый большой Императорский Дворец находится в Японии?;0
самая большая пирамида — пирамида Хеопса в Египте?;1
самые высоко расположенные над землей часы находятся на башне Вестминского аббатства в Лондоне?;1
самыми высокими сооружениями в современном мире являлись, разрушенные 11 сентября 2001 года, башни-близнецы торгового комплекса на Манхэттене в Нью-Йорке?;1
больше всего пользователей интернета находится в Японии?;0
на Луне побывали двенадцать человек?;1
